epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.947,1.17693,2.39177,1.31241,0.60545,0.60588,0.64222,0.36529,1.51129,2.35981,1.664,0.000650407,0.000650407,0.000650407
2,32.5838,1.39103,1.36706,1.44458,0.30952,0.17647,0.13393,0.06223,2.43671,5.12277,2.48841,0.00128448,0.00128448,0.00128448
3,47.2441,1.47019,1.43161,1.47915,0.2859,0.46471,0.30476,0.12774,1.9599,5.59674,2.8988,0.00188554,0.00188554,0.00188554
4,62.0297,1.40686,1.31851,1.45833,0.41745,0.62941,0.44852,0.22917,1.84858,4.39212,2.46292,0.0018515,0.0018515,0.0018515
5,76.7619,1.40511,1.23013,1.46216,0.30855,0.39637,0.28071,0.1309,2.07058,4.99605,2.23821,0.001802,0.001802,0.001802
6,91.298,1.35207,1.15601,1.41209,0.68731,0.58185,0.6481,0.36428,1.59125,2.16911,1.79257,0.0017525,0.0017525,0.0017525
7,107.693,1.35111,1.15891,1.40893,0.64029,0.67059,0.66986,0.37,1.49807,1.81839,1.68066,0.001703,0.001703,0.001703
8,122.447,1.26006,1.10371,1.38909,0.7329,0.72635,0.73839,0.47673,1.32774,1.39998,1.44285,0.0016535,0.0016535,0.0016535
9,137.05,1.24842,1.01661,1.33288,0.71266,0.65653,0.70923,0.4291,1.3875,1.55433,1.49102,0.001604,0.001604,0.001604
10,150.896,1.21683,1.0148,1.32629,0.81164,0.75294,0.82818,0.50768,1.34901,1.0977,1.43795,0.0015545,0.0015545,0.0015545
11,165.069,1.20046,0.98481,1.31347,0.79735,0.78695,0.82413,0.53282,1.24374,1.06034,1.35998,0.001505,0.001505,0.001505
12,179.398,1.15524,0.93287,1.28954,0.831,0.72312,0.8336,0.51882,1.30674,1.15103,1.35243,0.0014555,0.0014555,0.0014555
13,193.344,1.18846,0.93491,1.29227,0.84902,0.79392,0.85414,0.56818,1.24316,0.92937,1.34581,0.001406,0.001406,0.001406
14,207.548,1.15524,0.87592,1.27605,0.86887,0.79412,0.88896,0.60671,1.1011,0.79849,1.22582,0.0013565,0.0013565,0.0013565
15,221.68,1.14963,0.8745,1.28025,0.84447,0.79846,0.84235,0.58531,1.13215,0.93269,1.26868,0.001307,0.001307,0.001307
16,235.598,1.07018,0.83427,1.24777,0.90251,0.76243,0.86605,0.61259,1.10381,0.80674,1.23385,0.0012575,0.0012575,0.0012575
17,249.947,1.10311,0.84316,1.2448,0.87611,0.83529,0.89343,0.62757,1.07698,0.75869,1.21914,0.001208,0.001208,0.001208
18,265.177,1.07233,0.78909,1.21176,0.93018,0.78364,0.89234,0.62539,1.1397,0.76626,1.26976,0.0011585,0.0011585,0.0011585
19,279.63,1.06074,0.80427,1.2308,0.84079,0.80767,0.85162,0.57974,1.16688,0.88696,1.26272,0.001109,0.001109,0.001109
20,293.805,1.04911,0.79523,1.20665,0.87185,0.84706,0.89346,0.61704,1.06122,0.70563,1.20042,0.0010595,0.0010595,0.0010595
21,307.916,1.03815,0.77115,1.21065,0.88509,0.81555,0.88548,0.61358,1.09893,0.78284,1.24548,0.00101,0.00101,0.00101
22,321.74,1.01109,0.73156,1.19352,0.87918,0.84118,0.90203,0.64629,1.03676,0.70698,1.16209,0.0009605,0.0009605,0.0009605
23,335.625,1.02539,0.75034,1.19055,0.89327,0.86471,0.91349,0.64012,1.09966,0.73891,1.2645,0.000911,0.000911,0.000911
24,349.386,1.00288,0.73875,1.19011,0.92143,0.85294,0.91947,0.65872,1.03347,0.66412,1.17508,0.0008615,0.0008615,0.0008615
25,363.581,1.01294,0.71728,1.18156,0.86485,0.82811,0.87397,0.64465,1.05136,0.72231,1.20616,0.000812,0.000812,0.000812
26,377.44,0.96499,0.69209,1.151,0.883,0.84118,0.90692,0.66362,1.02429,0.66255,1.17248,0.0007625,0.0007625,0.0007625
27,392.077,0.96431,0.67679,1.1658,0.87447,0.86054,0.9078,0.64721,1.04329,0.64652,1.16165,0.000713,0.000713,0.000713
28,406.32,0.92105,0.6649,1.1489,0.95012,0.84706,0.94493,0.6718,1.04638,0.59535,1.16585,0.0006635,0.0006635,0.0006635
29,420.546,0.94628,0.67132,1.14284,0.86716,0.88824,0.92283,0.68402,0.98572,0.6328,1.12924,0.000614,0.000614,0.000614
30,435.169,0.93077,0.66704,1.14711,0.9154,0.88824,0.93458,0.6869,0.939,0.56362,1.11729,0.0005645,0.0005645,0.0005645
31,450.936,0.8614,0.55992,1.08897,0.89332,0.83737,0.90757,0.67221,0.98233,0.6138,1.16918,0.000515,0.000515,0.000515
32,464.644,0.83772,0.54583,1.08575,0.92757,0.8286,0.92362,0.68206,1.01969,0.6261,1.16347,0.0004655,0.0004655,0.0004655
33,478.351,0.81873,0.51635,1.06577,0.89926,0.89269,0.93101,0.69642,0.90996,0.5402,1.1012,0.000416,0.000416,0.000416
34,492.041,0.80867,0.49744,1.05097,0.91254,0.85925,0.934,0.68915,0.9726,0.55307,1.11973,0.0003665,0.0003665,0.0003665
